customer_id,monthly_charges,total_charges,payment_method
C000001,94.31,2734.99,Bank Transfer
C000002,48.92,635.96,Bank Transfer
C000003,58.67,528.03,Credit Card
C000004,84.14,1093.82,Bank Transfer
C000005,83.52,4259.52,UPI
C000006,82.03,1312.48,Bank Transfer
C000007,58.19,174.57,UPI
C000008,58.33,3266.48,Debit Card
C000009,72.62,653.58,Debit Card
C000010,64.95,129.9,UPI
C000011,87.76,1316.4,Debit Card
C000012,64.45,1095.65,Credit Card
C000013,63.86,638.6,UPI
C000014,37.48,449.76,UPI
C000015,87.51,525.06,Bank Transfer
C000016,76.45,611.6,Credit Card
C000017,30.0,1860.0,Bank Transfer
C000018,78.9,552.3,Credit Card
C000019,61.98,805.74,Credit Card
C000020,85.52,1539.36,Credit Card
C000021,67.9,4074.0,UPI
C000022,53.91,646.92,Debit Card
C000023,104.58,1464.12,Debit Card
C000024,101.44,3448.96,Bank Transfer
C000025,66.29,2054.99,Bank Transfer
C000026,77.45,1084.3,Debit Card
C000027,60.82,851.48,Debit Card
C000028,35.87,1040.23,Credit Card
C000029,96.35,1156.2,Bank Transfer
C000030,54.05,864.8,Bank Transfer
C000031,95.47,954.7,Bank Transfer
C000032,83.94,1091.22,Bank Transfer
C000033,75.74,302.96,Debit Card
C000034,69.18,622.62,Debit Card
C000035,84.03,2100.75,UPI
C000036,51.39,205.56,UPI
C000037,96.69,966.9,Debit Card
C000038,72.86,947.18,Credit Card
C000039,99.9,299.7,Debit Card
C000040,67.55,472.85,Credit Card
C000041,72.85,1092.75,Bank Transfer
C000042,75.28,3462.88,UPI
C000043,81.52,570.64,Credit Card
C000044,106.22,2124.4,Bank Transfer
C000045,61.24,551.16,Debit Card
C000046,67.44,3911.52,UPI
C000047,69.62,1183.54,Debit Card
C000048,30.0,1050.0,Bank Transfer
C000049,58.9,412.3,Bank Transfer
C000050,60.2,3792.6,Debit Card
C000051,122.76,2823.48,Bank Transfer
C000052,75.17,1503.4,Bank Transfer
C000053,79.87,958.44,Credit Card
C000054,40.63,325.04,Debit Card
C000055,68.75,2406.25,Debit Card
C000056,88.72,621.04,UPI
C000057,120.33,240.66,Credit Card
C000058,56.31,900.96,Credit Card
C000059,33.69,1414.98,Bank Transfer
C000060,54.49,54.49,UPI
C000061,54.57,3547.05,UPI
C000062,54.76,492.84,Credit Card
C000063,88.15,528.9,UPI
C000064,76.86,999.18,Credit Card
C000065,47.43,1138.32,UPI
C000066,98.32,1573.12,Credit Card
C000067,107.86,1402.18,Credit Card
C000068,35.9,466.7,Bank Transfer
C000069,93.55,1122.6,Bank Transfer
C000070,66.6,1198.8,UPI
C000071,51.16,51.16,Bank Transfer
C000072,40.9,695.3,Debit Card
C000073,60.94,426.58,Debit Card
C000074,59.56,952.96,UPI
C000075,72.95,1094.25,Credit Card
C000076,112.92,225.84,Bank Transfer
C000077,59.84,4128.96,UPI
C000078,41.87,669.92,Debit Card
C000079,63.4,1394.8,Credit Card
C000080,90.84,1362.6,Bank Transfer
C000081,65.05,195.15,Credit Card
C000082,83.03,1245.45,Credit Card
C000083,73.4,1247.8,Bank Transfer
C000084,71.22,356.1,Bank Transfer
C000085,101.74,2238.28,Debit Card
C000086,50.64,303.84,Debit Card
C000087,49.19,491.9,Credit Card
C000088,51.82,1399.14,Credit Card
C000089,76.91,1768.93,Debit Card
C000090,71.07,710.7,Debit Card
C000091,84.2,1431.4,Credit Card
C000092,68.48,1985.92,UPI
C000093,66.09,396.54,UPI
C000094,76.58,1914.5,UPI
C000095,103.93,2078.6,Bank Transfer
C000096,46.75,420.75,Debit Card
C000097,51.6,825.6,UPI
C000098,70.82,1912.14,UPI
C000099,110.65,885.2,Debit Card
C000100,48.57,874.26,Bank Transfer
C000101,69.8,1675.2,UPI
C000102,52.45,891.65,Bank Transfer
C000103,77.96,2026.96,Bank Transfer
C000104,30.0,1680.0,Credit Card
C000105,49.28,2858.24,Debit Card
C000106,95.57,191.14,Credit Card
C000107,70.19,701.9,UPI
C000108,55.09,991.62,Credit Card
C000109,69.08,759.88,Debit Card
C000110,68.73,1649.52,Bank Transfer
C000111,81.22,406.1,Bank Transfer
C000112,30.0,90.0,UPI
C000113,49.27,640.51,Debit Card
C000114,50.9,254.5,Bank Transfer
C000115,82.59,1404.03,UPI
C000116,69.87,978.18,Debit Card
C000117,98.81,592.86,Debit Card
C000118,86.58,779.22,Credit Card
C000119,63.08,1387.76,Bank Transfer
C000120,69.01,552.08,Debit Card
C000121,95.88,2972.28,Bank Transfer
C000122,98.66,1775.88,Bank Transfer
C000123,68.09,2315.06,Debit Card
C000124,50.3,804.8,Bank Transfer
C000125,30.0,1200.0,Credit Card
C000126,30.0,1950.0,UPI
C000127,79.44,1350.48,UPI
C000128,79.04,237.12,Debit Card
C000129,56.49,338.94,Credit Card
C000130,96.03,2400.75,UPI
C000131,65.86,3819.88,Credit Card
C000132,58.23,1455.75,Debit Card
C000133,93.42,1027.62,Credit Card
C000134,90.77,1996.94,Debit Card
C000135,68.97,620.73,UPI
C000136,80.35,482.1,UPI
C000137,82.87,1243.05,UPI
C000138,113.51,1362.12,UPI
C000139,67.38,2290.92,Bank Transfer
C000140,46.4,278.4,Credit Card
C000141,82.51,82.51,Credit Card
C000142,71.24,2137.2,Credit Card
C000143,72.25,1950.75,Debit Card
C000144,69.38,1734.5,UPI
C000145,38.17,572.55,UPI
C000146,75.23,3385.35,Bank Transfer
C000147,62.82,1758.96,Bank Transfer
C000148,63.82,191.46,UPI
C000149,62.04,496.32,Credit Card
C000150,69.22,346.1,Credit Card
C000151,75.21,1278.57,UPI
C000152,69.41,1943.48,Debit Card
C000153,93.1,5586.0,Credit Card
C000154,85.12,510.72,UPI
C000155,68.54,822.48,UPI
C000156,49.29,887.22,Bank Transfer
C000157,81.61,3019.57,Bank Transfer
C000158,63.7,955.5,UPI
C000159,66.59,3329.5,Debit Card
C000160,43.63,479.93,UPI
C000161,78.27,2191.56,Credit Card
C000162,121.87,1706.18,Debit Card
C000163,59.87,778.31,Debit Card
C000164,82.45,2061.25,Bank Transfer
C000165,94.92,854.28,UPI
C000166,59.54,535.86,Bank Transfer
C000167,30.0,480.0,Credit Card
C000168,83.91,1426.47,Bank Transfer
C000169,71.59,715.9,Credit Card
C000170,76.23,1295.91,UPI
C000171,71.1,142.2,UPI
C000172,93.2,838.8,Bank Transfer
C000173,68.05,408.3,Bank Transfer
C000174,113.42,226.84,Bank Transfer
C000175,83.96,1259.4,Credit Card
C000176,90.23,1533.91,Debit Card
C000177,70.13,1893.51,Debit Card
C000178,76.22,2515.26,Bank Transfer
C000179,36.21,289.68,Bank Transfer
C000180,58.46,584.6,UPI
C000181,91.55,1922.55,Bank Transfer
C000182,68.66,686.6,UPI
C000183,47.5,427.5,Credit Card
C000184,56.32,1858.56,Credit Card
C000185,56.15,1628.35,Credit Card
C000186,69.22,1661.28,Credit Card
C000187,53.32,53.32,Bank Transfer
C000188,98.46,393.84,Bank Transfer
C000189,74.16,2150.64,UPI
C000190,42.09,126.27,Bank Transfer
C000191,100.72,1510.8,UPI
C000192,69.08,1174.36,Credit Card
C000193,80.12,480.72,UPI
C000194,76.13,4872.32,UPI
C000195,78.35,3525.75,Bank Transfer
C000196,63.13,946.95,Credit Card
C000197,76.62,153.24,Debit Card
C000198,67.02,603.18,Bank Transfer
C000199,77.24,772.4,Bank Transfer
C000200,66.29,132.58,Debit Card
C000201,64.2,3274.2,Credit Card
C000202,40.76,692.92,Debit Card
C000203,69.9,1188.3,UPI
C000204,74.49,297.96,Debit Card
C000205,106.98,2460.54,Credit Card
C000206,79.59,955.08,Credit Card
C000207,55.51,943.67,Debit Card
C000208,49.71,447.39,Bank Transfer
C000209,75.35,2260.5,Debit Card
C000210,55.1,771.4,UPI
C000211,58.63,3341.91,Debit Card
C000212,55.04,1541.12,Debit Card
C000213,63.43,126.86,Debit Card
C000214,84.72,1101.36,UPI
C000215,30.2,151.0,Debit Card
C000216,95.89,6712.3,Bank Transfer
C000217,65.92,791.04,UPI
C000218,57.32,917.12,Bank Transfer
C000219,87.76,1404.16,UPI
C000220,65.87,1119.79,Credit Card
C000221,49.06,3188.9,Credit Card
C000222,39.56,276.92,UPI
C000223,83.91,2097.75,UPI
C000224,85.19,681.52,UPI
C000225,61.74,1173.06,Credit Card
C000226,96.43,1060.73,UPI
C000227,70.72,1414.4,Credit Card
C000228,96.56,579.36,Credit Card
C000229,50.85,1372.95,UPI
C000230,48.4,580.8,UPI
C000231,59.73,895.95,UPI
C000232,62.01,372.06,Credit Card
C000233,93.02,2139.46,Debit Card
C000234,75.87,682.83,UPI
C000235,54.82,712.66,Debit Card
C000236,70.22,983.08,Debit Card
C000237,61.44,1843.2,Debit Card
C000238,53.92,3343.04,Bank Transfer
C000239,68.41,889.33,Debit Card
C000240,66.18,132.36,Debit Card
C000241,54.69,218.76,Credit Card
C000242,54.47,326.82,Bank Transfer
C000243,86.29,258.87,Credit Card
C000244,78.47,627.76,Credit Card
C000245,88.87,2132.88,Debit Card
C000246,64.32,3473.28,Credit Card
C000247,48.25,482.5,UPI
C000248,58.52,994.84,Debit Card
C000249,90.55,1267.7,UPI
C000250,37.99,1329.65,Debit Card
C000251,98.89,890.01,Debit Card
C000252,47.8,717.0,Debit Card
C000253,85.59,256.77,Bank Transfer
C000254,49.59,1388.52,Debit Card
C000255,58.1,1278.2,UPI
C000256,30.0,300.0,Debit Card
C000257,107.08,428.32,Debit Card
C000258,81.5,1059.5,Credit Card
C000259,82.67,2893.45,Debit Card
C000260,60.14,360.84,Debit Card
C000261,51.38,1644.16,Debit Card
C000262,85.53,5473.92,Debit Card
C000263,45.94,1102.56,Debit Card
C000264,66.66,333.3,Debit Card
C000265,44.99,1394.69,Bank Transfer
C000266,72.48,1377.12,UPI
C000267,31.66,411.58,Bank Transfer
C000268,40.39,767.41,UPI
C000269,52.8,1003.2,Bank Transfer
C000270,82.3,1316.8,Debit Card
C000271,59.37,771.81,Bank Transfer
C000272,89.67,1345.05,UPI
C000273,100.01,2400.24,Credit Card
C000274,63.83,63.83,Credit Card
C000275,40.43,1334.19,Debit Card
C000276,89.31,625.17,Debit Card
