customer_id,gender,age,tenure_months,contract_type,churn
C000001,Male,54,29,One Year,Yes
C000002,Female,25,13,Two Year,No
C000003,Male,24,9,Month-to-Month,No
C000004,Male,31,13,Month-to-Month,No
C000005,Male,20,51,Two Year,No
C000006,Female,33,16,Month-to-Month,Yes
C000007,Male,36,3,Month-to-Month,Yes
C000008,Male,35,56,Two Year,No
C000009,Male,33,9,One Year,No
C000010,Female,25,2,Month-to-Month,No
C000011,Male,50,15,Month-to-Month,Yes
C000012,Male,29,17,Month-to-Month,No
C000013,Male,28,10,Month-to-Month,No
C000014,Male,22,12,Two Year,No
C000015,Female,44,6,Month-to-Month,Yes
C000016,Male,29,8,One Year,No
C000017,Female,34,62,Two Year,No
C000018,Female,23,7,Month-to-Month,No
C000019,Female,50,13,Month-to-Month,No
C000020,Male,22,18,One Year,No
C000021,Female,45,60,Two Year,No
C000022,Male,31,12,Two Year,No
C000023,Female,22,14,Month-to-Month,Yes
C000024,Female,50,34,One Year,No
C000025,Female,58,31,One Year,No
C000026,Female,36,14,Two Year,No
C000027,Female,39,14,Month-to-Month,Yes
C000028,Female,22,29,One Year,No
C000029,Female,19,12,Two Year,No
C000030,Female,47,16,Month-to-Month,No
C000031,Male,64,10,Month-to-Month,Yes
C000032,Male,56,13,Month-to-Month,No
C000033,Female,21,4,Month-to-Month,Yes
C000034,Female,50,9,Month-to-Month,No
C000035,Female,30,25,Two Year,No
C000036,Male,37,4,Month-to-Month,No
C000037,Female,24,10,Month-to-Month,No
C000038,Male,32,13,One Year,No
C000039,Male,40,3,Month-to-Month,Yes
C000040,Male,31,7,Month-to-Month,No
C000041,Male,40,15,One Year,Yes
C000042,Male,36,46,Two Year,No
C000043,Female,46,7,One Year,No
C000044,Female,37,20,One Year,No
C000045,Female,46,9,Month-to-Month,No
C000046,Female,41,58,Two Year,No
C000047,Female,35,17,Month-to-Month,No
C000048,Male,27,35,One Year,No
C000049,Female,58,7,Month-to-Month,No
C000050,Female,25,63,Two Year,No
C000051,Male,43,23,One Year,Yes
C000052,Female,46,20,One Year,No
C000053,Male,27,12,Month-to-Month,No
C000054,Female,34,8,Month-to-Month,No
C000055,Male,19,35,One Year,No
C000056,Female,23,7,One Year,No
C000057,Female,22,2,Month-to-Month,No
C000058,Male,45,16,Two Year,No
C000059,Male,58,42,Two Year,No
C000060,Male,22,1,Month-to-Month,Yes
C000061,Male,35,65,Two Year,No
C000062,Male,43,9,One Year,No
C000063,Male,37,6,Month-to-Month,No
C000064,Male,58,13,Month-to-Month,No
C000065,Male,44,24,One Year,No
C000066,Female,29,16,One Year,No
C000067,Female,24,13,Month-to-Month,No
C000068,Male,20,13,One Year,No
C000069,Female,27,12,One Year,No
C000070,Female,51,18,One Year,No
C000071,Female,42,1,Month-to-Month,No
C000072,Female,52,17,Two Year,No
C000073,Male,33,7,Month-to-Month,No
C000074,Female,19,16,Month-to-Month,No
C000075,Male,41,15,Month-to-Month,No
C000076,Female,27,2,Month-to-Month,No
C000077,Female,55,69,Two Year,No
C000078,Female,39,16,Month-to-Month,No
C000079,Male,43,22,One Year,No
C000080,Female,60,15,Month-to-Month,No
C000081,Male,56,3,Month-to-Month,No
C000082,Female,44,15,Two Year,No
C000083,Male,46,17,One Year,No
C000084,Female,64,5,Month-to-Month,Yes
C000085,Male,55,22,One Year,No
C000086,Male,37,6,Month-to-Month,No
C000087,Female,44,10,Month-to-Month,No
C000088,Male,58,27,One Year,No
C000089,Female,37,23,One Year,No
C000090,Female,61,10,Month-to-Month,No
C000091,Female,36,17,Two Year,No
C000092,Female,37,29,One Year,No
C000093,Female,52,6,Month-to-Month,No
C000094,Female,64,25,One Year,No
C000095,Female,19,20,One Year,No
C000096,Female,47,9,One Year,No
C000097,Female,51,16,Month-to-Month,No
C000098,Female,39,27,One Year,No
C000099,Female,20,8,Month-to-Month,Yes
C000100,Male,23,18,Two Year,No
C000101,Male,32,24,One Year,No
C000102,Female,44,17,Month-to-Month,No
C000103,Female,27,26,One Year,No
C000104,Female,26,56,Two Year,No
C000105,Female,50,58,Two Year,No
C000106,Female,49,2,Month-to-Month,No
C000107,Female,23,10,Month-to-Month,No
C000108,Female,58,18,One Year,No
C000109,Female,53,11,Month-to-Month,No
C000110,Male,19,24,Two Year,No
C000111,Female,46,5,Month-to-Month,Yes
C000112,Male,21,3,Month-to-Month,No
C000113,Female,18,13,Month-to-Month,No
C000114,Female,36,5,Month-to-Month,No
C000115,Male,43,17,One Year,No
C000116,Female,42,14,Month-to-Month,No
C000117,Male,27,6,Month-to-Month,No
C000118,Female,32,9,Month-to-Month,No
C000119,Female,39,22,One Year,No
C000120,Male,38,8,Month-to-Month,No
C000121,Female,39,31,One Year,No
C000122,Male,53,18,One Year,No
C000123,Female,51,34,One Year,No
C000124,Male,47,16,Two Year,No
C000125,Male,42,40,Two Year,No
C000126,Female,62,65,Two Year,No
C000127,Female,45,17,Month-to-Month,No
C000128,Male,18,3,Month-to-Month,Yes
C000129,Female,62,6,Month-to-Month,No
C000130,Female,21,25,Two Year,No
C000131,Female,24,58,Two Year,No
C000132,Male,26,25,Two Year,No
C000133,Male,53,11,Month-to-Month,No
C000134,Male,36,22,Two Year,No
C000135,Male,18,9,Month-to-Month,No
C000136,Male,27,6,Month-to-Month,No
C000137,Male,53,15,Month-to-Month,No
C000138,Male,26,12,Month-to-Month,No
C000139,Male,62,34,One Year,No
C000140,Male,63,6,Month-to-Month,Yes
C000141,Female,59,1,Month-to-Month,Yes
C000142,Male,49,30,One Year,No
C000143,Female,49,27,Two Year,No
C000144,Female,23,25,One Year,No
C000145,Female,55,15,Month-to-Month,Yes
C000146,Male,34,45,Two Year,No
C000147,Male,27,28,Two Year,No
C000148,Male,44,3,Month-to-Month,Yes
C000149,Male,52,8,One Year,No
C000150,Female,38,5,Month-to-Month,Yes
C000151,Male,42,17,Month-to-Month,No
C000152,Male,45,28,One Year,Yes
C000153,Male,64,60,Two Year,No
C000154,Male,32,6,Month-to-Month,Yes
C000155,Male,21,12,Two Year,No
C000156,Female,46,18,Two Year,No
C000157,Male,26,37,Two Year,No
C000158,Female,44,15,Month-to-Month,Yes
C000159,Male,43,50,Two Year,No
C000160,Female,36,11,Month-to-Month,No
C000161,Male,45,28,One Year,No
C000162,Male,34,14,Month-to-Month,No
C000163,Female,60,13,Month-to-Month,No
C000164,Female,58,25,One Year,No
C000165,Female,59,9,Month-to-Month,No
C000166,Male,37,9,Month-to-Month,No
C000167,Female,62,16,Month-to-Month,Yes
C000168,Male,57,17,One Year,Yes
C000169,Male,56,10,Month-to-Month,No
C000170,Female,40,17,Two Year,No
C000171,Female,64,2,Month-to-Month,No
C000172,Male,49,9,Month-to-Month,No
C000173,Male,64,6,Month-to-Month,No
C000174,Female,50,2,Month-to-Month,No
C000175,Female,63,15,Month-to-Month,No
C000176,Female,22,17,Month-to-Month,No
C000177,Male,60,27,Two Year,No
C000178,Male,51,33,One Year,No
C000179,Male,57,8,Month-to-Month,No
C000180,Male,28,10,Month-to-Month,No
C000181,Male,20,21,Two Year,No
C000182,Male,50,10,Month-to-Month,No
C000183,Female,28,9,Month-to-Month,No
C000184,Male,33,33,One Year,Yes
C000185,Male,35,29,One Year,No
C000186,Male,47,24,One Year,No
C000187,Female,27,1,Month-to-Month,No
C000188,Male,35,4,Month-to-Month,Yes
C000189,Male,55,29,One Year,No
C000190,Female,36,3,Month-to-Month,Yes
C000191,Male,53,15,One Year,No
C000192,Male,30,17,One Year,No
C000193,Male,63,6,Month-to-Month,No
C000194,Male,20,64,Two Year,No
